date,NO2,SO2,CO
2025-08-30T00:00:00.000Z,1.91e-05,-4.38e-05,0.028624485
2025-08-31T00:00:00.000Z,1.91e-05,-4.38e-05,0.028624485
2025-09-01T00:00:00.000Z,3.7e-05,,0.029639054
2025-09-02T00:00:00.000Z,1.73e-05,-1.42e-05,0.026620715
2025-09-03T00:00:00.000Z,,9.93e-05,0.030720706
2025-09-04T00:00:00.000Z,1.28e-05,0.000207,0.02703701
2025-09-05T00:00:00.000Z,1.57e-05,-1.61e-05,0.03015601
2025-09-06T00:00:00.000Z,1.87e-05,9.69e-05,0.027693071
2025-09-07T00:00:00.000Z,3.4e-05,6.81e-06,0.02450105
2025-09-08T00:00:00.000Z,2.06e-05,-6.29e-05,0.021309028
2025-09-09T00:00:00.000Z,1.45e-05,2.66e-05,0.026713266
2025-09-10T00:00:00.000Z,1.74e-05,4.25e-05,0.027747043
2025-09-11T00:00:00.000Z,2.04e-05,-1.25e-06,0.028780819
2025-09-12T00:00:00.000Z,2.33e-05,-4.5e-05,0.026930572
2025-09-13T00:00:00.000Z,2.39e-05,0.000158,0.0311464
2025-09-14T00:00:00.000Z,1.72e-05,0.000107,0.026621982
2025-09-15T00:00:00.000Z,1.33e-05,9.65e-06,0.026197738
2025-09-16T00:00:00.000Z,2.04e-05,1.87e-05,0.030578798
2025-09-17T00:00:00.000Z,2.75e-05,2.77e-05,0.034959858
2025-09-18T00:00:00.000Z,1.96e-05,-1.34e-05,0.031629149
2025-09-19T00:00:00.000Z,1.17e-05,-5.45e-05,0.028298439
2025-09-20T00:00:00.000Z,2.32e-05,-1.61e-05,0.027528681
2025-09-21T00:00:00.000Z,1.98e-05,6.39e-05,0.029633538
2025-09-22T00:00:00.000Z,1.86e-05,3.63e-05,0.026075411
2025-09-23T00:00:00.000Z,3.47e-05,4.7e-05,0.03321675
2025-09-24T00:00:00.000Z,2.96e-05,8.11e-05,0.032764684
2025-09-25T00:00:00.000Z,2.51e-05,0.000183,0.032133754
2025-09-26T00:00:00.000Z,1.87e-05,-0.000101,0.035282059
2025-09-27T00:00:00.000Z,2.48e-05,0.000132,0.033718181
2025-09-28T00:00:00.000Z,3.5e-05,4.24e-05,0.033089279
2025-09-29T00:00:00.000Z,1.71e-05,5.2e-05,0.033425249
2025-09-30T00:00:00.000Z,1.76e-05,,
2025-10-01T00:00:00.000Z,,-9.37e-05,0.033637768
2025-10-02T00:00:00.000Z,1.69e-05,-5.34e-05,0.031574439
2025-10-03T00:00:00.000Z,2.34e-05,-7.78e-05,0.034085536
2025-10-04T00:00:00.000Z,2.53e-05,0.000118,0.031756537
2025-10-05T00:00:00.000Z,2.25e-05,-9.91e-05,
2025-10-06T00:00:00.000Z,2.12e-05,9.98e-05,0.035272089
2025-10-07T00:00:00.000Z,,,
2025-10-08T00:00:00.000Z,1.42e-05,-5.47e-05,0.03297764
2025-10-09T00:00:00.000Z,2.58e-05,-9.17e-05,0.036633555
2025-10-10T00:00:00.000Z,2.16e-05,8.83e-05,0.033584104
2025-10-11T00:00:00.000Z,2.62e-05,-6.18e-05,0.030199871
2025-10-12T00:00:00.000Z,,-6.75e-05,0.028549717
2025-10-13T00:00:00.000Z,1.66e-05,-5.66e-05,0.027293769
2025-10-14T00:00:00.000Z,2.89e-05,-5.89e-05,0.02534246
2025-10-15T00:00:00.000Z,2.9e-05,4.24e-05,0.032635507
2025-10-16T00:00:00.000Z,2.94e-05,0.000197,0.031619035
2025-10-17T00:00:00.000Z,2.14e-05,7.02e-05,0.030254024
2025-10-18T00:00:00.000Z,2.05e-05,-0.000103,0.034307625
2025-10-19T00:00:00.000Z,2.59e-05,-9.66e-06,0.03356288
2025-10-20T00:00:00.000Z,1.67e-05,-0.000125,0.03358935
2025-10-21T00:00:00.000Z,1.91e-05,-6.91e-05,0.035501895
